trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
6.168830000000000363e-05	9.147289999999999588e-02	-2.289250000000000052e-03	-1.109009999999999900e-03	-1.046509999999999980e-04	-4.553199999999999977e-04	0.000000000000000000e+00	-5.896658999998999773e-04	1.680783784000000058e-01	-1.033060050000000028e-02	3.955468869999999998e-02	-2.379649962000000007e-01	3.877811629999999843e-01	8.914853316426597303e+02	9.807884135139873933e+02
7.594600000000000775e-05	8.701189999999990599e-02	-5.998619999999989932e-02	-1.086570000000000027e-03	-4.913089999999999949e-04	-1.005840000000000033e-03	1.101531076999999054e-01	-3.157194099999999920e-03	-4.028724790000000333e-02	-9.688490580000000407e-02	-2.374930319999999859e-02	-8.858898739999999938e-02	-3.701218180000000191e-02	8.898294241749792945e+02	9.802647090651031476e+02
-4.088900000000000347e-03	-2.738669999999999993e-02	-2.483869999999999828e-02	-2.755529999999999959e-03	-1.025979999999999904e-03	-1.796789999999999932e-03	3.034399959999999896e-01	-6.524788169999999610e-02	-7.125063380000000446e-02	1.023723358000000055e-01	-1.537042792999999963e-01	-2.063056610000000082e-02	4.594580499999999929e-02	9.020045383115609638e+02	9.830155147392435993e+02
-1.944800000000000001e-02	9.394619999999999360e-02	1.338420000000000061e-02	-5.503380000000000424e-03	-4.805979999999999953e-04	-3.181039999999999996e-03	4.087890000000000135e-01	-8.866938080000000277e-02	-8.551790260000000088e-02	-5.145380979999999993e-02	-1.481928892000000109e-01	-2.343776418000000084e-01	1.158881729000000027e-01	8.995663511397058301e+02	9.817935254637616254e+02
3.144700000000000273e-02	9.346089999999999953e-02	-4.604599999999999665e-02	1.825499999999899902e-03	1.172220000000000076e-03	1.168619999999999989e-03	7.773783999999999139e-01	4.128377419999999798e-02	-2.384668380000000074e-02	-2.348583270000000056e-02	7.846336210000000311e-02	-5.509608530000000004e-02	1.662454375999999900e-01	8.981179172054731907e+02	9.800004356797176115e+02
2.387239999999999848e-02	-1.420070000000000013e-02	6.366709999999989322e-02	-2.475810000000000163e-03	-1.170940000000000088e-03	-6.374109999998999821e-04	6.474743499999999763e-01	-6.645603309999989494e-02	5.874877089999999691e-02	2.182373400000000088e-02	1.034569079000000058e-01	-7.109059939999999578e-02	-1.043778900000000070e-03	8.966990370551424121e+02	9.791128967727197505e+02
1.431250000000000057e-02	1.465769999999999018e-01	4.125929999999999875e-02	-2.306170000000000182e-03	-5.912530000000000259e-04	-4.161289999999999998e-04	2.412758499999999862e-01	-3.602452689999999930e-02	1.042786700000000039e-02	-1.563808369999999948e-02	8.100264809999989379e-02	-1.634539305999999914e-01	-2.320539229999999883e-02	8.892514835120208545e+02	9.794879566133887465e+02
1.530480000000000035e-02	-2.628999999999990025e-02	4.151040000000000285e-02	-1.718729999999999911e-03	-6.806100000000000040e-04	-3.879859999999999949e-04	2.093573999999999991e-01	-8.700480319999999435e-02	-1.285522750000000006e-02	-2.155822660000000085e-02	1.753501370000000101e-02	6.951473830000000353e-02	1.006799491999999935e-01	9.003232563829550372e+02	9.798271759352460322e+02
9.247369999999999549e-03	5.489089999999999941e-02	6.251969999999999750e-02	-1.903589999999999926e-03	-6.806100000000000040e-04	-3.909100000000000096e-04	1.176368299999999978e-01	-8.379430259999999520e-02	1.047545560999999931e-01	2.373668599999999990e-03	5.313839339999999745e-02	-1.295779879999989920e-02	-1.729888029999999965e-02	8.985065942422356784e+02	9.794209711606248447e+02
1.672939999999999844e-02	7.827649999999999886e-02	6.262170000000000236e-02	-1.566450000000000047e-03	-1.272150000000000104e-03	-5.210079999999999963e-04	8.390852999999989792e-02	-6.548522390000000026e-02	1.370599285999999917e-01	-2.245629999999999848e-02	1.530224240000000076e-02	-8.035588300000000295e-03	-7.724752799999999586e-02	8.892598421579726846e+02	9.784782224472684220e+02
3.205600000000000116e-02	5.785520000000000246e-02	4.163429999999999909e-02	-1.037930000000000059e-03	-1.272150000000000104e-03	-1.524599999999999870e-04	1.015886999999999069e-01	-9.860194919999999696e-02	-2.546242680000000008e-02	-2.495899520000000038e-02	-1.144866380000000017e-01	5.209322219999999726e-02	1.062849060000000019e-02	9.037014927013266288e+02	9.812864022989132309e+02
9.294250000000000428e-03	7.150169999999999963e-03	2.233040000000000025e-02	-9.555370000000000096e-04	-1.272150000000000104e-03	-2.983400000000000201e-04	1.041843300000000055e-01	-3.117552579999999934e-02	1.653524500000000050e-02	1.442794051999999883e-01	-1.101242231000000016e-01	-2.604374430000000115e-02	-6.895764729999999398e-02	8.965564922893559014e+02	9.819088240826215497e+02
9.354219999999999896e-03	1.023199999999999943e-01	-6.845780000000000094e-03	-1.255679999999999904e-03	-1.186189999999999944e-03	-1.382079999999999886e-04	1.517177299999999951e-01	8.450153180000000153e-02	-7.501504119999999332e-02	3.358211600000000213e-02	-1.917024828999999986e-01	-4.299410570000000015e-02	-1.589894396000000043e-01	8.971145811681785744e+02	9.806603854580467896e+02
