trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	csf	white_matter
3.617180000000000395e-02	5.146440000000000042e-02	-2.902089999999999947e-01	7.137400000000000341e-04	-2.110599999999999803e-03	0.000000000000000000e+00	0.000000000000000000e+00	-6.931854700000000119e-03	-6.408909320000000243e-02	1.757828330000000064e-02	9.982059799999999997e-03	-5.176303239999999889e-02	2.304176380000000010e-02	5.952242678014027888e+02	5.676377840918797801e+02
2.442420000000000355e-02	5.340259999999999452e-02	-2.901599999999999735e-01	4.135359999999999926e-04	-1.884080000000000000e-03	3.224869999999999907e-04	5.619535000000001196e-02	3.512493499999999949e-03	-4.241974490000000042e-02	4.519073550000000244e-02	3.919721379999999838e-02	-5.396104089999999992e-02	9.764615729999999438e-02	5.945082278477581212e+02	5.679427095377003525e+02
2.047869999999999899e-02	3.564679999999999932e-02	-2.070610000000000228e-01	0.000000000000000000e+00	-9.013549999999999514e-04	1.027120000000000073e-03	2.098449999999999760e-01	-1.252152280000000048e-02	-4.323313759999999895e-02	1.590062919999999866e-02	7.345158229999999844e-02	-1.049138747000000066e-01	4.405077090000000112e-02	5.929819480988514897e+02	5.679997962260609938e+02
1.583120000000000013e-02	5.349369999999999820e-02	-1.603009999999999990e-01	-1.702899999999999976e-04	-7.212019999999999976e-04	1.027120000000000073e-03	8.677654999999999397e-02	-2.035618910000000156e-02	-5.463208840000000066e-02	2.143161580000000135e-02	4.584015040000000152e-02	-5.124161430000000184e-02	1.146244659999999943e-01	5.944133212549174914e+02	5.676709412348832302e+02
3.653259999999999841e-02	5.343610000000000027e-02	-1.365010000000000112e-01	2.946000000000000051e-04	-3.782850000000000145e-04	1.258159999999999921e-03	9.650134999999995800e-02	-2.499922209999999936e-02	-6.139988460000000287e-02	-3.664131799999999998e-03	5.801839839999999721e-02	-8.939979599999998972e-02	6.114018580000000341e-02	5.969914487529879352e+02	5.674382813571475026e+02
6.413030000000000119e-02	6.644939999999999181e-02	-7.344119999999999537e-01	9.681600000000000275e-03	6.707070000000000143e-05	7.931419999999999356e-04	1.153390684999999971e+00	6.491319119999999776e-02	-1.775671029999999900e-02	-1.185652754999999975e-01	-3.830190299999999826e-02	-1.344244916000000012e-01	-1.608982699999999925e-03	6.029855573243291929e+02	5.688257387920232304e+02
5.272029999999999772e-02	-7.392529999999999935e-02	1.598249999999999948e-01	-5.955150000000000200e-03	-2.903719999999999826e-03	-3.679760000000000019e-04	2.034454635000000344e+00	-8.760164289999997078e-02	8.988659089999999352e-02	-3.148936370000000179e-02	1.063648356999999933e-01	2.200159670000000067e-02	-4.943284080000000247e-02	5.990985770429716695e+02	5.712426643454443820e+02
1.209589999999999971e-02	8.032630000000000325e-02	-4.637029999999999763e-01	-5.411609999999999858e-03	-3.859329999999999792e-03	-7.474800000000000194e-04	9.123367000000000004e-01	1.072297950000000027e-01	8.966613380000000577e-02	9.375775699999999713e-02	4.170615619999999690e-02	2.395523899999999970e-03	5.594214700000000456e-02	6.091628659091909412e+02	5.712360080334342456e+02
4.598949999999999566e-02	1.743180000000000007e-01	-1.413770000000000027e-01	2.396080000000000085e-03	-3.168419999999999917e-03	1.016710000000000096e-03	9.633507999999999516e-01	-7.019289089999999898e-02	2.328046630000000020e-02	3.337988880000000019e-02	-8.033926500000000692e-02	4.852701940000000297e-02	-1.613604189999999841e-02	5.904917101636190182e+02	5.706161208333417107e+02
-6.740180000000000130e-03	-2.367309999999999900e-02	-9.141509999999999914e-02	2.083329999999999991e-03	-9.723739999999999164e-04	1.888389999999999990e-03	4.697064799999999818e-01	-4.405413789999999830e-02	-2.303081680000000284e-02	3.386388430000000088e-02	3.506290390000000451e-02	7.536733789999999766e-02	-6.984668570000000798e-02	5.842854247786027599e+02	5.697382134141168990e+02
